data,abertura,maxima,minima,fechamento,volume,ajustado,ano,mes,dia_semana,trimestre,tendencia,sazonalidade,residuos_stl,dif_1,retorno_simples,log_retorno,log_retorno_tratado,volume_norm,log_retorno_z,fechamento_z,tendencia_z
2020-09-16,38.349998474121094,40.34000015258789,38.349998474121094,40.15999984741211,367612,40.15999984741211,2020,9,quarta,3,41.887376872622184,0.5083497155495807,-2.2357267407596524,1.8800010681152344,0.04911183720131151,0.04794393688801778,0.04794393688801778,0.1800452185124287,1.950815397573524,-1.2951691394630733,-1.3625417112622964
2020-09-17,40.189998626708984,41.220001220703125,39.41999816894531,40.970001220703125,280669,40.970001220703125,2020,9,quinta,3,41.98164042391511,0.1902021696828676,-1.2018413728948545,0.8100013732910156,0.02016935698129018,0.01996864976985295,0.01996864976985295,0.12936935970749602,0.8061403011819738,-1.2478455570538127,-1.3562569328675036
2020-09-18,40.970001220703125,41.4900016784668,40.29999923706055,41.11000061035156,85906,41.11000061035156,2020,9,sexta,3,42.075903975208035,-0.17067449383743036,-0.7952288710190416,0.1399993896484375,0.00341711948931289,0.00341129440275008,0.00341129440275008,0.015849211007484543,0.1286569112609724,-1.23966622196657,-1.349972154472711
2020-09-21,40.97999954223633,41.27000045776367,38.65999984741211,39.310001373291016,66195,39.310001373291016,2020,9,segunda,3,42.17016752650096,0.17935859938943158,-3.0395247525993767,-1.7999992370605469,-0.04378494795272036,-0.04477244138790672,-0.04477244138790672,0.004360398188694906,-1.8428947006208647,-1.3448295155614276,-1.3436873760779182
2020-09-22,39.630001068115234,40.02000045776367,39,39.599998474121094,287807,39.599998474121094,2020,9,terça,3,42.26443107779389,0.2103016296945953,-2.8747342333673913,0.2899971008300781,0.00737718368606099,0.00735010535946769,0.00735010535946769,0.13352983588326187,0.2898226856283524,-1.32788670268221,-1.3374025976831254
2020-09-23,39.7599983215332,40.75,39.2599983215332,39.93000030517578,318754,39.93000030517578,2020,9,quarta,3,42.35869462908681,-0.4326144260191996,-1.996079897891832,0.3300018310546875,0.00833337989319238,0.00829884898976085,0.00829884898976085,0.15156769749875995,0.3286427771566188,-1.3086066503735672,-1.3311178192883326
2020-09-24,39.599998474121094,40.369998931884766,39.119998931884766,40.310001373291016,269992,40.310001373291016,2020,9,quinta,3,42.45295818037974,-0.12916512528767968,-2.0137916818010453,0.3800010681152344,0.00951668082171242,0.00947168247942108,0.00947168247942108,0.12314613133419092,0.3766320357532301,-1.2864054388009327,-1.3248330408935398
2020-09-25,40.150001525878906,40.63999938964844,39.709999084472656,40.25,229025,40.25,2020,9,sexta,3,42.547221731672664,0.1320679351851816,-2.429289666857848,-0.06000137329101562,-0.00148849841842901,-0.00148960733274792,-0.00148960733274792,0.09926798234391365,-0.07187508481080554,-1.289910963639822,-1.318548262498747
2020-09-28,40.06999969482422,40.79999923706055,39.779998779296875,40.599998474121094,226425,40.599998474121094,2020,9,segunda,3,42.64148528296559,0.32057552624220736,-2.362062335086705,0.34999847412109375,0.0086956142638781,0.00865802515988958,0.00865802515988958,0.09775253851413064,0.3433393204102068,-1.2694626259217152,-1.3122634841039544
2020-09-29,40.58000183105469,40.70000076293945,38.40999984741211,39.290000915527344,379599,39.290000915527344,2020,9,terça,3,42.73574883425851,-0.41819002612228817,-3.027557892608882,-1.30999755859375,-0.03226595093171636,-0.03279797215230347,-0.03279797215230347,0.18703199743073984,-1.3529309455178227,-1.3459980238410574,-1.305978705709162
